,id,movie,year,rating,genre,runtime,imdb,metascore,votes,review_quality
318,318,They Live,1988,R,"['Action', ' Horror', ' Sci-Fi']",94,72,55,135050,2
319,319,Terminator 3: Rise of the Machines,2003,R,"['Action', ' Sci-Fi']",109,63,66,406410,2
320,320,The Dead Don't Die,2019,R,"['Comedy', ' Fantasy', ' Horror']",104,54,53,81532,0
321,321,Real Steel,2011,PG-13,"['Action', ' Drama', ' Sci-Fi']",127,70,56,338367,2
322,322,Speed Racer,2008,PG,"['Action', ' Adventure', ' Comedy']",135,60,37,75725,0
323,323,Meet Cute,2022,TV-MA,"['Comedy', ' Drama', ' Fantasy']",89,57,50,8326,0
324,324,G.I. Joe: The Rise of Cobra,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,57,32,211376,0
325,325,Jurassic Park III,2001,PG-13,"['Action', ' Adventure', ' Sci-Fi']",92,59,42,329081,0
326,326,The Incredible Hulk,2008,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,66,61,502561,2
327,327,Serenity,2005,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,78,74,299502,2
328,328,The Mitchells vs the Machines,2021,PG,"['Animation', ' Adventure', ' Comedy']",114,76,81,114537,2
329,329,Dragonball Evolution,2009,PG,"['Action', ' Adventure', ' Fantasy']",85,25,45,76462,0
330,330,Geostorm,2017,PG-13,"['Action', ' Sci-Fi', ' Thriller']",109,53,21,111814,0
331,331,Underwater,2020,PG-13,"['Action', ' Horror', ' Sci-Fi']",95,58,48,87080,0
332,332,Metropolis,1927,Not Rated,"['Drama', ' Sci-Fi']",153,83,98,177454,2
333,333,Ralph Breaks the Internet,2018,PG,"['Animation', ' Adventure', ' Comedy']",112,70,71,168078,2
334,334,Alien³,1992,R,"['Action', ' Horror', ' Sci-Fi']",114,64,59,306318,2
335,335,Vesper,2022,Not Rated,"['Adventure', ' Drama', ' Sci-Fi']",114,59,70,17039,2
336,336,Journey 2: The Mysterious Island,2012,PG,"['Action', ' Adventure', ' Comedy']",94,57,41,107369,0
337,337,Deep Blue Sea,1999,R,"['Action', ' Adventure', ' Sci-Fi']",105,59,54,136839,0
338,338,Melancholia,2011,R,"['Drama', ' Sci-Fi']",135,71,80,187299,2
339,339,Moon,2009,R,"['Drama', ' Mystery', ' Sci-Fi']",97,78,67,365453,2
340,340,Zathura: A Space Adventure,2005,PG,"['Action', ' Adventure', ' Comedy']",101,62,67,108785,2
